pair,frequency
bafts-spirits,0
Welsh-beads,0
saccerguntes-arms,0
ginghams-perpetuanoes,0
akori-muskets,0
says-fusils,0
cauldees-coral,1
cauldees-muskets,0
linen-perpetuanoes,0
niconees-times,10
niconees-cauldees,0
snaphances-guns,1
silk-tobacco,0
snaphances-longees,3
longcloths-niconees,11
pautkaes-times,12
guns-blankets,4
silk-brawls,7
jugs-diglings,2
guns-mahubetbanes,0
pautkaes-beads,4
blankets-satins,1
pans-niconees,6
says-allejars,20
perpetuanoes-carbines,0
niconees-rangoes,0
blankets-spirits,4
clouts -mahubetbanes,0
allejars-iron,27
bars-cauldees,0
linen-tobacco,0
sheets-niconees,0
pans-tapseils,7
jugs-Welsh,0
spirits-brawls,6
brandy-silk,4
rum-mahubetbanes,0
cauldees-cowries,0
sletias-mahubetbanes,0
bars-bafts,19
longees-cowries,1
umbanees-boysadoes,0
longees-brawls,9
guns-platilloes,0
pans-arms,2
saccerguntes-satins,0
chints-coral,2
rum-guns,30
pautkaes-brawls,16
pautkaes-rangoes,0
akori-chints,0
bafts-carbines,3
silk-satins,4
cauldees-knives,1
perpetuanoes-brawls,0
plains-times,3
pautkaes-bafts,9
arms-Welsh,0
muskets-silk,1
akori-perpetuanoes,0
boysadoes-linen,0
times-knives,11
bars-fusils,1
lawns-blankets,0
boysadoes-diglings,0
arms-times,14
pautkaes-boysadoes,0
longees-times,6
sletias-rangoes,0
longcloths-Welsh,0
clouts -rangoes,0
photaes-times,2
bouges-chints,4
carbines-brawls,2
boysadoes-carbines,0
bouges-salemporis,5
salemporis-brawls,0
brandy-carpets,3
umbanees-lawns,0
Welsh-silk,0
fusils-saccerguntes,0
carbines-satins,0
salemporis-guns,0
longcloths-diglings,2
akori-iron,0
pans-brandy,4
arms-perpetuanoes,0
pans-umbanees,1
snaphances-boysadoes,0
tapseils-arms,2
saccerguntes-iron,1
lawns-chints,0
umbanees-chercolees,0
bars-jugs,14
cauldees-rangoes,0
tapseils-says,47
ginghams-tobacco,1
niconees-tobacco,4
sheets-clouts ,0
tobacco-times,6
snaphances-coral,0
chercolees-brawls,0
salemporis-Welsh,0
sheets-linen,0
sletias-boysadoes,0
beads-perpetuanoes,0
clouts -allejars,4
perpetuanoes-times,0
pautkaes-perpetuanoes,0
fusils-brandy,1
sheets-platilloes,0
rangoes-times,0
photaes-salemporis,2
chints-perpetuanoes,0
lawns-beads,1
bars-muskets,13
bouges-brandy,8
snaphances-cauldees,0
muskets-tobacco,0
arms-carpets,5
cauldees-linen,0
niconees-diglings,3
jugs-coral,1
pans-carbines,0
bouges-lawns,1
umbanees-cowries,0
cowries-carpets,1
longees-chints,2
plains-chercolees,0
sletias-beads,14
photaes-umbanees,3
chints-muskets,1
niconees-chints,1
blankets-carpets,13
plains-satins,4
sheets-lawns,0
bafts-times,8
saccerguntes-umbanees,0
brandy-muskets,6
salemporis-times,2
diglings-allejars,0
bafts-chercolees,4
niconees-brawls,20
pans-Welsh,0
rum-blankets,9
umbanees-longees,5
arms-rangoes,0
brandy-beads,12
sletias-brandy,18
rum-boysadoes,0
blankets-coral,5
boysadoes-niconees,0
rangoes-knives,0
clouts -umbanees,0
linen-silk,1
tapseils-photaes,2
bafts-satins,4
tobacco-brawls,0
fusils-salemporis,1
muskets-spirits,1
snaphances-bafts,1
pautkaes-lawns,0
umbanees-muskets,0
diglings-beads,0
arms-satins,2
arms-chints,0
sletias-lawns,1
chercolees-cowries,1
says-rum,47
snaphances-rum,1
fusils-longcloths,1
says-iron,126
cauldees-chercolees,0
pintadoes-brandy,0
says-tobacco,5
pans-cauldees,1
sletias-longcloths,23
bouges-rum,3
Welsh-platilloes,0
pautkaes-allejars,6
says-coral,7
sheets-brawls,0
pans-boysadoes,0
photaes-carpets,0
snaphances-cowries,0
sletias-akori,0
longcloths-pintadoes,0
ginghams-salemporis,2
snaphances-chercolees,0
rum-beads,6
platilloes-cauldees,0
pans-satins,4
linen-chercolees,1
tobacco-carbines,0
bouges-photaes,0
rum-brawls,14
silk-coral,5
sheets-jugs,0
akori-guns,0
akori-chercolees,0
pintadoes-carbines,0
salemporis-rangoes,0
plains-rangoes,0
pautkaes-carpets,8
arms-diglings,0
photaes-tobacco,0
clouts -akori,0
sletias-bouges,14
jugs-cowries,1
jugs-tobacco,0
arms-spirits,0
chints-satins,2
clouts -cowries,0
tapseils-guns,7
beads-chercolees,3
plains-linen,1
umbanees-iron,7
pans-bars,7
guns-times,14
longees-ginghams,8
spirits-carpets,4
jugs-rangoes,0
bouges-allejars,10
niconees-blankets,7
lawns-perpetuanoes,0
umbanees-times,1
longees-niconees,11
sheets-guns,0
pautkaes-cauldees,1
linen-brawls,1
pautkaes-platilloes,0
photaes-satins,2
fusils-niconees,0
ginghams-lawns,0
mahubetbanes-perpetuanoes,0
carbines-carpets,1
pintadoes-chints,0
pans-says,10
spirits-knives,8
niconees-coral,4
cowries-iron,1
snaphances-mahubetbanes,0
tapseils-umbanees,4
photaes-Welsh,0
says-times,27
clouts -times,7
plains-mahubetbanes,0
times-brawls,6
boysadoes-brawls,0
pans-pautkaes,4
sletias-bafts,11
guns-coral,8
arms-iron,12
umbanees-coral,1
bars-chercolees,3
boysadoes-chercolees,0
sheets-chercolees,0
rum-times,19
boysadoes-Welsh,0
linen-chints,2
sheets-akori,0
spirits-iron,16
chints-brawls,1
photaes-muskets,0
ginghams-niconees,5
spirits-tobacco,0
arms-brawls,0
longcloths-umbanees,6
bouges-arms,4
platilloes-carpets,0
salemporis-cowries,0
platilloes-muskets,0
sletias-chercolees,4
spirits-mahubetbanes,0
pans-sheets,0
sletias-platilloes,0
tobacco-perpetuanoes,0
says-salemporis,0
fusils-mahubetbanes,0
photaes-mahubetbanes,0
muskets-knives,1
umbanees-perpetuanoes,0
diglings-knives,3
longcloths-platilloes,0
allejars-mahubetbanes,0
umbanees-ginghams,3
longees-carpets,7
blankets-knives,4
bars-salemporis,4
fusils-snaphances,0
cauldees-satins,0
fusils-umbanees,0
longcloths-snaphances,0
photaes-carbines,0
ginghams-silk,8
akori-cauldees,0
muskets-mahubetbanes,0
diglings-spirits,1
jugs-plains,8
blankets-times,4
says-brawls,29
niconees-brandy,19
ginghams-brawls,3
platilloes-silk,0
pautkaes-jugs,1
umbanees-mahubetbanes,0
longees-satins,4
linen-satins,1
lawns-brandy,1
bouges-brawls,1
sletias-plains,22
cauldees-chints,0
boysadoes-salemporis,0
sheets-photaes,0
chints-times,3
sheets-times,0
says-snaphances,3
spirits-times,2
rum-iron,73
muskets-coral,1
photaes-silk,1
arms-pintadoes,0
bafts-mahubetbanes,0
pans-photaes,0
allejars-satins,3
photaes-pintadoes,0
akori-cowries,0
guns-chercolees,2
longcloths-carbines,3
guns-chints,1
bouges-plains,2
pans-akori,0
snaphances-tobacco,0
sheets-pautkaes,0
fusils-carbines,1
says-akori,0
platilloes-chercolees,0
saccerguntes-niconees,0
says-chercolees,2
sletias-silk,7
silk-mahubetbanes,0
pans-longees,4
brandy-brawls,10
umbanees-salemporis,2
tapseils-bouges,5
pintadoes-guns,0
pautkaes-longcloths,14
says-carbines,2
platilloes-times,0
rum-satins,5
niconees-iron,48
chercolees-perpetuanoes,0
clouts -rum,4
muskets-rangoes,0
pintadoes-boysadoes,0
boysadoes-carpets,0
pans-chercolees,2
says-muskets,14
boysadoes-times,0
longcloths-rangoes,0
rum-perpetuanoes,0
bafts-brandy,8
pintadoes-rangoes,0
boysadoes-spirits,0
pintadoes-iron,0
perpetuanoes-knives,0
bouges-satins,1
pans-lawns,0
jugs-akori,0
niconees-platilloes,0
longcloths-chercolees,5
lawns-coral,1
silk-beads,10
fusils-allejars,0
arms-platilloes,0
allejars-coral,2
niconees-muskets,2
tapseils-platilloes,0
Welsh-cowries,0
bafts-rum,12
pautkaes-brandy,5
tapseils-niconees,51
longees-silk,27
cauldees-brawls,1
snaphances-satins,0
bouges-niconees,1
plains-blankets,6
silk-chercolees,6
longcloths-coral,5
longees-tobacco,0
pintadoes-times,0
bars-boysadoes,0
chints-carpets,2
plains-cowries,1
bars-blankets,12
arms-ginghams,0
snaphances-brandy,1
sheets-knives,0
bouges-linen,4
platilloes-brawls,0
boysadoes-satins,0
pans-chints,2
pans-pintadoes,0
pintadoes-platilloes,0
Welsh-knives,0
muskets-times,5
umbanees-arms,0
allejars-perpetuanoes,0
rum-arms,16
bafts-lawns,1
akori-carpets,0
tapseils-carbines,3
fusils-cauldees,0
bafts-akori,0
pautkaes-blankets,1
Welsh-times,0
rum-pintadoes,0
niconees-spirits,5
clouts -salemporis,0
longees-salemporis,2
longees-chercolees,3
pautkaes-coral,6
sletias-jugs,9
diglings-tobacco,0
plains-spirits,7
arms-allejars,1
diglings-chercolees,0
fusils-chints,0
fusils-longees,0
coral-knives,10
brandy-coral,4
ginghams-chercolees,6
clouts -photaes,1
longcloths-jugs,3
tapseils-boysadoes,0
sletias-carpets,7
akori-ginghams,0
pautkaes-chints,1
niconees-mahubetbanes,0
bafts-guns,10
plains-brandy,5
ginghams-blankets,3
bafts-linen,1
linen-muskets,1
cowries-brawls,3
sletias-ginghams,5
beads-coral,4
snaphances-plains,1
bars-pintadoes,0
pautkaes-bouges,5
says-longcloths,16
snaphances-beads,0
photaes-brawls,1
jugs-perpetuanoes,0
bouges-diglings,0
platilloes-mahubetbanes,0
says-chints,1
boysadoes-coral,0
bars-umbanees,3
snaphances-linen,0
fusils-rum,0
diglings-perpetuanoes,0
diglings-blankets,1
sheets-saccerguntes,0
photaes-plains,1
spirits-carbines,0
ginghams-cowries,1
niconees-allejars,16
ginghams-chints,2
tobacco-carpets,0
pautkaes-linen,1
platilloes-satins,0
bouges-platilloes,0
mahubetbanes-carpets,0
saccerguntes-photaes,0
boysadoes-beads,0
bouges-snaphances,0
arms-silk,0
boysadoes-guns,0
bafts-ginghams,7
tapseils-perpetuanoes,0
bars-satins,4
sheets-perpetuanoes,0
brandy-blankets,8
bafts-diglings,2
tapseils-fusils,0
tapseils-jugs,10
lawns-diglings,0
guns-tobacco,2
rangoes-mahubetbanes,0
ginghams-coral,0
perpetuanoes-iron,0
says-perpetuanoes,0
bars-lawns,2
photaes-ginghams,3
saccerguntes-tobacco,0
clouts -snaphances,0
cauldees-blankets,0
diglings-rangoes,0
salemporis-spirits,0
diglings-brawls,1
umbanees-diglings,0
linen-allejars,0
knives-brawls,15
guns-brawls,6
rum-carpets,6
lawns-brawls,0
photaes-bafts,4
guns-lawns,0
clouts -brawls,11
sheets-tobacco,0
linen-beads,3
ginghams-linen,1
pintadoes-plains,0
saccerguntes-ginghams,0
brandy-tobacco,5
jugs-lawns,0
beads-knives,6
linen-blankets,4
pans-bafts,3
saccerguntes-beads,0
says-niconees,49
snaphances-arms,1
fusils-silk,0
plains-tobacco,0
bafts-cowries,0
muskets-brawls,4
sheets-spirits,0
says-umbanees,5
chercolees-carbines,0
clouts -spirits,1
clouts -platilloes,0
snaphances-times,1
pans-rangoes,0
sheets-boysadoes,0
plains-perpetuanoes,0
says-longees,14
arms-boysadoes,0
blankets-brawls,7
Welsh-carbines,0
bouges-bafts,9
saccerguntes-bafts,0
sletias-coral,5
chints-knives,1
photaes-longees,4
jugs-satins,1
bars-longees,12
perpetuanoes-satins,0
snaphances-diglings,0
photaes-chints,0
bafts-niconees,13
bars-photaes,2
cauldees-beads,0
blankets-carbines,1
platilloes-allejars,0
bouges-chercolees,4
bars-beads,19
guns-iron,63
boysadoes-cauldees,0
pans-knives,14
rum-plains,16
umbanees-satins,5
sheets-longcloths,0
jugs-carbines,1
plains-carbines,1
bouges-akori,0
photaes-brandy,0
jugs-snaphances,0
rangoes-allejars,0
mahubetbanes-carbines,0
saccerguntes-jugs,0
allejars-carbines,0
pans-bouges,3
times-satins,4
spirits-beads,2
umbanees-cauldees,0
longcloths-carpets,7
longcloths-times,8
rum-coral,1
tapseils-snaphances,1
diglings-cowries,0
mahubetbanes-knives,0
brandy-allejars,8
guns-carbines,2
tapseils-lawns,0
muskets-allejars,7
fusils-knives,1
beads-mahubetbanes,0
umbanees-platilloes,0
bars-linen,5
ginghams-platilloes,0
brandy-times,17
tobacco-chercolees,0
jugs-knives,8
pautkaes-Welsh,0
snaphances-pintadoes,0
umbanees-rum,3
bouges-mahubetbanes,0
umbanees-bafts,4
fusils-bouges,1
pintadoes-Welsh,0
niconees-beads,9
blankets-cowries,1
bars-arms,9
akori-brandy,0
plains-salemporis,0
snaphances-carpets,1
ginghams-satins,3
snaphances-spirits,0
akori-knives,0
bouges-saccerguntes,0
photaes-iron,5
silk-cowries,0
platilloes-linen,0
sletias-diglings,4
bouges-beads,14
fusils-rangoes,0
pintadoes-cauldees,0
photaes-rum,2
sheets-cowries,0
rum-chints,0
sletias-pautkaes,10
longcloths-mahubetbanes,0
longees-linen,0
diglings-coral,1
muskets-iron,18
clouts -pintadoes,0
clouts -tobacco,0
ginghams-cauldees,0
tapseils-beads,11
tobacco-knives,1
sletias-muskets,8
allejars-times,11
photaes-beads,0
pautkaes-cowries,1
longcloths-ginghams,4
photaes-lawns,0
pintadoes-coral,0
lawns-allejars,0
bouges-iron,20
lawns-carbines,1
brandy-chints,3
arms-cowries,0
guns-brandy,18
pans-blankets,0
lawns-carpets,1
guns-spirits,1
pans-brawls,5
akori-Welsh,0
akori-blankets,0
says-cowries,1
akori-plains,0
sheets-pintadoes,0
plains-chints,2
umbanees-guns,2
sletias-snaphances,1
muskets-satins,0
plains-platilloes,0
plains-knives,17
bouges-umbanees,0
pintadoes-carpets,0
pintadoes-muskets,0
plains-diglings,3
cauldees-iron,2
sheets-sletias,0
bafts-knives,9
niconees-satins,10
ginghams-times,4
bars-ginghams,7
clouts -knives,8
fusils-brawls,0
cowries-coral,0
arms-salemporis,0
Welsh-carpets,0
bars-says,94
bafts-tobacco,1
saccerguntes-brandy,0
niconees-chercolees,1
says-saccerguntes,0
niconees-knives,17
bars-perpetuanoes,0
jugs-longees,4
akori-boysadoes,0
bars-clouts ,15
salemporis-blankets,0
sletias-satins,5
pintadoes-tobacco,0
clouts -linen,1
sletias-fusils,1
bouges-perpetuanoes,0
guns-cowries,1
bafts-platilloes,0
pans-spirits,3
plains-silk,6
saccerguntes-snaphances,0
boysadoes-allejars,0
salemporis-chints,1
tapseils-brawls,28
bouges-carpets,3
photaes-spirits,0
akori-coral,0
salemporis-muskets,1
chints-mahubetbanes,0
pans-muskets,2
says-ginghams,6
pans-silk,4
beads-times,9
lawns-iron,2
bars-times,23
tobacco-coral,0
salemporis-lawns,1
fusils-beads,1
bars-akori,0
clouts -diglings,0
jugs-guns,4
longcloths-perpetuanoes,0
jugs-platilloes,0
lawns-mahubetbanes,0
platilloes-diglings,0
sheets-diglings,0
rum-knives,15
salemporis-tobacco,0
umbanees-niconees,3
sheets-rum,0
jugs-cauldees,1
akori-arms,0
sheets-longees,0
umbanees-beads,0
bars-plains,23
tapseils-cowries,3
rum-niconees,24
bafts-iron,23
tapseils-linen,2
coral-iron,8
tobacco-satins,0
diglings-chints,1
fusils-coral,1
saccerguntes-longcloths,0
tapseils-chints,1
sletias-salemporis,3
salemporis-mahubetbanes,0
longees-allejars,5
diglings-times,0
akori-diglings,0
chints-cowries,0
bars-allejars,23
longcloths-guns,6
says-bafts,19
sletias-cauldees,0
pans-diglings,2
pautkaes-ginghams,8
allejars-chercolees,2
clouts -beads,7
bouges-silk,7
sheets-allejars,0
bafts-beads,6
saccerguntes-carbines,0
sheets-silk,0
allejars-brawls,13
brandy-chercolees,4
bouges-longcloths,12
cauldees-brandy,0
sheets-arms,0
cauldees-carbines,0
pautkaes-plains,16
clouts -ginghams,0
fusils-muskets,0
linen-coral,2
chercolees-times,1
tapseils-plains,20
clouts -niconees,9
akori-rum,0
silk-times,7
jugs-allejars,3
linen-mahubetbanes,0
salemporis-iron,7
fusils-chercolees,0
arms-coral,3
bafts-cauldees,0
jugs-ginghams,2
sheets-bafts,0
niconees-linen,1
photaes-snaphances,0
boysadoes-muskets,0
umbanees-Welsh,0
guns-knives,8
tapseils-allejars,22
spirits-cowries,1
bars-coral,10
tobacco-cowries,0
pautkaes-umbanees,7
sletias-carbines,3
pautkaes-mahubetbanes,0
snaphances-akori,0
guns-satins,5
says-diglings,1
longcloths-rum,3
photaes-blankets,0
chints-chercolees,2
tapseils-salemporis,3
linen-rangoes,0
saccerguntes-salemporis,0
tapseils-longcloths,18
sletias-guns,8
arms-blankets,6
bars-cowries,1
salemporis-carbines,1
says-spirits,13
pautkaes-fusils,0
saccerguntes-guns,0
spirits-chercolees,0
mahubetbanes-tobacco,0
muskets-chercolees,1
rangoes-brawls,0
guns-perpetuanoes,0
muskets-carbines,0
rangoes-perpetuanoes,0
snaphances-platilloes,0
says-Welsh,0
brandy-satins,1
umbanees-carpets,1
clouts -coral,1
salemporis-perpetuanoes,0
rum-cowries,0
umbanees-jugs,0
photaes-akori,0
snaphances-niconees,1
salemporis-linen,2
ginghams-diglings,1
says-boysadoes,0
cauldees-mahubetbanes,0
lawns-platilloes,0
clouts -plains,8
tapseils-sletias,39
ginghams-boysadoes,0
jugs-niconees,8
saccerguntes-mahubetbanes,0
bars-rangoes,0
rangoes-tobacco,0
saccerguntes-lawns,0
saccerguntes-platilloes,0
bafts-allejars,11
knives-iron,33
plains-Welsh,0
arms-niconees,2
brandy-rangoes,0
fusils-boysadoes,0
fusils-blankets,0
pans-platilloes,0
platilloes-rangoes,0
pans-sletias,8
bafts-blankets,5
pintadoes-ginghams,0
rangoes-satins,0
salemporis-satins,2
rangoes-carbines,0
pans-cowries,0
jugs-salemporis,0
jugs-muskets,1
bars-knives,26
mahubetbanes-coral,0
tapseils-silk,5
fusils-times,0
umbanees-linen,0
arms-muskets,6
bafts-coral,4
brandy-spirits,4
tapseils-mahubetbanes,0
umbanees-chints,0
tapseils-carpets,5
linen-carpets,1
pintadoes-beads,0
bars-guns,28
clouts -brandy,7
photaes-diglings,0
saccerguntes-silk,0
Welsh-mahubetbanes,0
longcloths-knives,11
pautkaes-spirits,4
snaphances-silk,1
tapseils-brandy,18
iron-brawls,28
sletias-times,11
clouts -longees,1
longcloths-cowries,3
saccerguntes-akori,0
fusils-guns,0
salemporis-silk,2
bars-spirits,14
bars-sheets,0
bars-snaphances,2
sheets-beads,0
rangoes-blankets,0
diglings-carpets,0
arms-tobacco,1
brandy-perpetuanoes,0
blankets-iron,15
spirits-allejars,1
boysadoes-chints,0
salemporis-cauldees,0
umbanees-silk,2
spirits-coral,3
saccerguntes-linen,0
tapseils-satins,6
tapseils-blankets,10
tapseils-cauldees,0
ginghams-knives,2
longcloths-cauldees,1
pintadoes-allejars,0
silk-iron,17
saccerguntes-rangoes,0
silk-allejars,8
muskets-perpetuanoes,0
says-rangoes,0
sheets-blankets,0
linen-spirits,3
sheets-snaphances,0
bouges-boysadoes,0
saccerguntes-perpetuanoes,0
cauldees-carpets,0
boysadoes-silk,0
fusils-cowries,0
jugs-linen,1
pautkaes-clouts ,8
longees-guns,6
says-clouts ,17
guns-cauldees,0
fusils-linen,1
sheets-rangoes,0
longcloths-blankets,6
sletias-knives,15
allejars-carpets,3
sletias-Welsh,0
photaes-arms,0
sletias-saccerguntes,0
saccerguntes-plains,0
pautkaes-muskets,2
sheets-satins,0
perpetuanoes-carpets,0
lawns-cowries,0
pintadoes-silk,0
ginghams-Welsh,0
plains-beads,12
fusils-diglings,0
clouts -silk,4
ginghams-carpets,2
plains-guns,11
Welsh-diglings,0
snaphances-rangoes,0
sletias-cowries,3
saccerguntes-times,0
bafts-plains,4
says-brandy,39
photaes-platilloes,0
says-pautkaes,24
coral-brawls,3
longees-Welsh,0
bafts-brawls,12
photaes-jugs,0
pautkaes-silk,6
plains-muskets,4
photaes-coral,1
snaphances-muskets,0
pautkaes-iron,30
photaes-chercolees,0
saccerguntes-brawls,0
Welsh-chercolees,0
pautkaes-saccerguntes,0
bars-silk,15
longees-pintadoes,0
ginghams-muskets,2
saccerguntes-rum,0
pans-tobacco,1
times-carpets,7
lawns-linen,1
bouges-ginghams,3
pintadoes-linen,0
chints-allejars,3
platilloes-cowries,0
sletias-iron,55
allejars-knives,5
tapseils-Welsh,0
arms-guns,28
spirits-perpetuanoes,0
bars-chints,5
arms-chercolees,1
bafts-chints,3
silk-knives,9
lawns-knives,1
salemporis-platilloes,0
ginghams-carbines,0
jugs-arms,1
snaphances-knives,0
knives-satins,6
platilloes-coral,0
akori-tobacco,0
jugs-spirits,4
blankets-beads,6
umbanees-brandy,0
bouges-cowries,0
arms-beads,1
akori-platilloes,0
akori-niconees,0
tapseils-diglings,2
silk-perpetuanoes,0
sheets-chints,0
ginghams-allejars,5
fusils-photaes,0
longees-knives,8
longees-iron,18
sletias-longees,11
bars-platilloes,0
Welsh-coral,0
