good,possible_alias,UID
niconees,nicconeees,847
niconees,nicconees,217
niconees,nicconeese,1775
niconees,niccones,717
niconees,nicconess,800
niconees,nicconnees,378
niconees,nickonees,2147
niconees,nickones,1754
niconees,niconee,1715
niconees,niconnese,2068
opinion,minion,230
opinion,opinnion,1786
opinion,oppinion,47
opinion,pinson,1746
pautkaes,pautkais,1363
pautkaes,pautkas,16
pautkaes,pautkeis,1364
pautkaes,pautkes,2935
pautkaes,pautkey,1361
pautkaes,pautkeys,483
pautkaes,pautkies,2057
pautkaes,poutkies,2221
perpetuano,perpettuanoe,417
perpetuano,perpettuanos,109
perpetuano,perpetualy,2184
perpetuano,perpetuanoe,4
perpetuano,perpetuanoes,26
perpetuano,perpetuanos,4
perpetuanoes,parpetuanoes,2868
perpetuanoes,peipetuanoes,1756
perpetuanoes,pepettuanoes,424
perpetuanoes,perpetanoes,2095
perpetuanoes,perpettuanes,59
perpetuanoes,perpettuanoe,417
perpetuanoes,perpettuanoes,1
perpetuanoes,perpettuanoess,603
perpetuanoes,perpettuanos,109
perpetuanoes,perpetuano,367
perpetuanoes,perpetuanoe,4
perpetuanoes,perpetuanoess,1111
perpetuanoes,perpetuanos,4
perpetuanoes,perpetunanoes,1284
perpetuanoes,perrpetuanoes,2216
perpetuanoes,purpetuanoes,1378
photaes,phota,1362
photaes,photas,1444
piece,apeece,4
piece,apiece,51
piece,pace,883
piece,peace,119
piece,peces,738
piece,peece,4
piece,peeces,38
piece,peere,43
piece,peese,2436
piece,peeze,1685
piece,peice,99
piece,peieces,738
piece,pence,213
piece,peze,275
piece,pick,261
piece,pieces,4
piece,piecess,288
piece,piers,2720
piece,piety,698
piece,piez,1306
piece,pieze,1171
piece,piezes,1171
piece,pike,2995
piece,pile,1242
piece,pinck,1459
piece,pine,2240
piece,pinke,104
piece,pipe,1708
piece,pitch,535
piece,place,3
piece,pleace,1716
piece,price,6
piece,prince,43
piece,rice,1119
piece,sieve,2383
piece,since,3
piece,spice,157
piece,vice,344
pieces,apiece,51
pieces,paces,53
pieces,peaces,2407
pieces,peces,738
pieces,peece,4
pieces,peeces,38
pieces,pees,394
pieces,peeses,2183
pieces,peezes,2184
pieces,peices,131
pieces,peieces,738
pieces,peirces,1678
pieces,piece,8
pieces,piecess,288
pieces,piers,2720
pieces,pieze,1171
pieces,piezes,1171
pieces,piles,1706
pieces,pilles,3024
pieces,pincks,1968
pieces,pines,2737
pieces,pipes,198
pieces,piples,2751
pieces,places,12
pieces,pleaces,1635
pieces,prices,57
pieces,princes,639
pieces,tierces,1615
pintadoes,pintadoe,1138
pintadoes,pintados,479
platilloes,plattilloes,2983
red,10d,1852
red,11d,1613
red,12d,3005
red,13d,2923
red,1d,1469
red,20d,1898
red,22d,487
red,23d,495
red,2d,83
red,2nd,11
red,3d,564
red,3rd,76
red,4d,867
red,6d,1463
red,7d,456
red,abed,1065
red,ad,15
red,add,48
red,agred,1970
red,aid,425
red,aired,978
red,amd,381
red,and,1
red,are,1
red,armd,110
red,armed,1459
red,bad,16
red,be,1
red,bead,1356
red,bed,414
red,bedd,1391
red,beds,1609
red,bee,51
red,beg,65
red,begd,2034
red,bid,54
red,bread,584
red,bred,28
red,breed,294
red,crew,682
red,cryd,1167
red,cured,111
red,d,43
red,dared,818
red,de,60
red,dead,18
red,dec,1483
red,deed,127
red,der,396
red,dew,242
red,dey,1454
red,did,1
red,died,232
red,dread,1897
red,drew,704
red,dried,2441
red,dryed,414
red,dyd,1966
red,dyed,17
red,ed,16
red,em,1414
red,en,634
red,end,10
red,ere,111
red,es,2835
red,feb,483
red,feed,1142
red,few,2
red,fired,169
red,fled,111
red,free,2
red,freed,1677
red,fyred,723
red,get,242
red,god,27
red,had,4
red,he,4
red,head,16
red,hee,6
red,heed,710
red,hel,1133
red,held,477
red,her,4
red,hes,833
red,hid,708
red,hired,236
red,hyred,1155
red,ie,14
red,key,121
red,lad,653
red,le,2710
red,lead,39
red,led,1728
red,ledd,2066
red,lee,1891
red,leg,3008
red,lend,480
red,leo,420
red,let,59
red,ley,1196
red,lyed,2430
red,mad,491
red,me,4
red,mead,45
red,mee,1
red,men,6
red,mend,184
red,met,510
red,mud,95
red,ne,1924
red,ned,1459
red,nedd,1721
red,need,114
red,new,17
red,ney,1933
red,odd,53
red,old,53
red,ore,1408
red,owed,204
red,pad,1153
red,pea,484
red,pen,89
red,pend,2008
red,per,2
red,pew,393
red,pez,2731
red,prea,1337
red,pried,389
red,ra,2212
red,rac,532
red,ran,314
red,rat,1477
red,rated,433
red,raw,1924
red,re,2647
red,read,379
red,reade,1940
red,ready,7
red,real,484
red,reap,1134
red,redd,31
red,redds,4
red,reddy,1452
red,reds,29
red,redy,1013
red,reed,1110
red,rego,3094
red,rely,1931
red,rent,425
red,rest,25
red,rh,1158
red,rid,497
red,ride,512
red,road,51
red,rob,671
red,robed,484
red,rod,126
red,rods,1260
red,roe,490
red,roes,470
red,rood,1701
red,rot,2291
red,row,1454
red,roy,2
red,rubed,3006
red,rude,704
red,rudy,739
red,ruled,494
red,rum,105
red,run,6
red,sad,67
red,se,649
red,sea,55
red,see,1
red,send,3
red,set,180
red,sex,422
red,sey,2080
red,shed,1971
red,sued,423
red,tel,2412
red,ten,388
red,tend,79
red,thred,1953
red,tired,453
red,tread,1299
red,tree,484
red,tres,370
red,trew,803
red,tried,2733
red,tryed,1198
red,tyed,579
red,tyred,516
red,urged,4
red,usd,676
red,used,31
red,vend,6
red,verd,462
red,vew,593
red,vex,1553
red,vid,389
red,we,12
red,wee,1
red,wel,1923
red,wet,136
red,ye,1719
red,yes,1105
red,yet,60
red,zee,47
royal,coral,1454
royal,oyl,1488
royal,real,484
royal,road,51
royal,roale,1392
royal,roap,1455
royal,roll,1392
royal,roman,3055
royal,ronan,774
royal,roy,2
royal,royall,4
royal,royle,1910
royal,tryal,2874
saccerguntes,saccorguntes,2828
salemporis,salampores,2992
salemporis,sallempores,1458
ship,chid,2014
ship,hid,708
ship,him,2
ship,hip,201
ship,hipp,2569
ship,his,1
ship,hit,3004
ship,said,3
ship,sail,522
ship,sain,714
ship,sais,1176
ship,schips,1723
ship,seiz,2568
ship,shal,2280
ship,sham,2576
ship,shape,484
ship,sharp,2448
ship,she,24
ship,shea,1394
ship,sheap,484
ship,shed,1971
ship,shee,7
ship,sheep,59
ship,shes,2426
ship,shew,48
ship,shift,377
ship,shine,2502
ship,shipd,1108
ship,shipe,1560
ship,shiped,890
ship,shipes,575
ship,shipp,34
ship,shippe,211
ship,shipps,36
ship,shippt,393
ship,ships,4
ship,shipt,112
ship,shirt,298
ship,shod,2164
ship,shopp,1784
ship,shot,647
ship,show,28
ship,shun,2705
ship,shut,1049
ship,sic,4
ship,sik,33
ship,sir,48
ship,six,27
ship,skie,484
ship,skif,611
ship,skin,1744
ship,slap,3004
ship,slip,4
ship,slipt,573
ship,slit,1728
ship,snap,4
ship,soap,1744
ship,soop,3040
ship,spie,2466
ship,spit,484
ship,step,3004
ship,stir,92
ship,stop,24
ship,strip,1181
ship,suit,673
ship,swim,528
ship,thim,3055
ship,thin,190
ship,this,1
ship,trip,1401
ship,whip,2034
ship,whipd,2033
ship,whips,2754
ship,whipt,40
ship,whit,126
silk,balk,43
silk,bile,2048
silk,bill,477
silk,dick,47
silk,dirk,3072
silk,file,1743
silk,fill,323
silk,hill,16
silk,il,2266
silk,ile,458
silk,ill,16
silk,ink,222
silk,kick,575
silk,kild,385
silk,kill,54
silk,kiln,1746
silk,lick,1986
silk,mild,652
silk,mile,337
silk,pick,261
silk,pile,1242
silk,pill,1827
silk,pink,484
silk,risk,1251
silk,sack,398
silk,sail,522
silk,saild,576
silk,saile,24
silk,saill,2578
silk,sale,419
silk,salt,320
silk,seek,712
silk,self,747
silk,sell,4
silk,sic,4
silk,sick,45
silk,sicke,739
silk,side,4
silk,sift,2383
silk,sign,1104
silk,sik,33
silk,sike,3035
silk,silck,2758
silk,silke,11
silk,silkes,39
silk,silks,250
silk,sinck,2777
silk,sink,3014
silk,sir,48
silk,sirs,1670
silk,sitt,692
silk,sive,2383
silk,six,27
silk,size,30
silk,skill,2730
silk,sold,4
silk,sole,431
silk,soly,833
silk,stalk,903
silk,stick,484
silk,stild,1613
silk,stile,47
silk,still,3
silk,sunk,494
silk,swill,1452
silk,talk,704
silk,til,1307
silk,till,4
silk,walk,2036
silk,wil,1543
silk,wild,1909
silk,will,1
tapseil,tappseils,2695
tapseil,tapsails,2874
tapseil,tapseels,60
tapseil,tapseile,679
tapseil,tapseiles,648
tapseil,tapseills,2868
tapseil,tapseils,741
tapseil,tapsele,408
tapseil,tapsell,4
tapseil,tapsells,3
tapseils,tapeseiles,1701
tapseils,tappseels,173
tapseils,tappseils,2695
tapseils,tappsells,217
tapseils,tapsails,2874
tapseils,tapseales,1378
tapseils,tapseeles,118
tapseils,tapseells,392
tapseils,tapseels,60
tapseils,tapseile,679
tapseils,tapseiles,648
tapseils,tapseilles,2320
tapseils,tapseills,2868
tapseils,tapsele,408
tapseils,tapseles,1289
tapseils,tapsell,4
tapseils,tapselles,32
tapseils,tapsells,3
umbanees,ambanees,2935
umbanees,humbanees,1392
woman,bosman,2991
woman,coma,431
woman,comand,792
woman,copman,1799
woman,corman,2567
woman,hobman,2040
woman,loan,2379
woman,lomax,772
woman,man,2
woman,odan,2838
woman,quoman,2519
woman,reman,1113
woman,roman,3055
woman,ronan,774
woman,suman,1851
woman,tomas,1720
woman,wan,1837
woman,weoman,1334
woman,weomen,850
woman,woeman,10
woman,woemand,122
woman,woemen,10
woman,woeoman,500
woman,womans,2728
woman,women,264
woman,womene,545
woman,womens,246
woman,woolman,333
woman,workman,1717
woman,worn,1180
